	Pyridine	Aldehyde	Isocyanide	Temperature	Solvent_V	Catalyst	Time
0	0.1	0.1	0.1	10	0.1	0.0	5
1	0.1	0.1	0.1	10	0.1	0.0	10
2	0.1	0.1	0.1	10	0.1	0.0	15
3	0.1	0.1	0.1	10	0.1	0.0	30
4	0.1	0.1	0.1	10	0.1	0.0	60
5	0.1	0.1	0.1	10	0.1	1.0	5
6	0.1	0.1	0.1	10	0.1	1.0	10
7	0.1	0.1	0.1	10	0.1	1.0	15
8	0.1	0.1	0.1	10	0.1	1.0	30
9	0.1	0.1	0.1	10	0.1	1.0	60
10	0.1	0.1	0.1	10	0.1	2.0	5
11	0.1	0.1	0.1	10	0.1	2.0	10
12	0.1	0.1	0.1	10	0.1	2.0	15
13	0.1	0.1	0.1	10	0.1	2.0	30
14	0.1	0.1	0.1	10	0.1	2.0	60
15	0.1	0.1	0.1	10	0.1	3.0	5
16	0.1	0.1	0.1	10	0.1	3.0	10
17	0.1	0.1	0.1	10	0.1	3.0	15
18	0.1	0.1	0.1	10	0.1	3.0	30
19	0.1	0.1	0.1	10	0.1	3.0	60
20	0.1	0.1	0.1	10	0.1	4.0	5
21	0.1	0.1	0.1	10	0.1	4.0	10
22	0.1	0.1	0.1	10	0.1	4.0	15
23	0.1	0.1	0.1	10	0.1	4.0	30
24	0.1	0.1	0.1	10	0.1	4.0	60
25	0.1	0.1	0.1	10	0.1	5.0	5
26	0.1	0.1	0.1	10	0.1	5.0	10
27	0.1	0.1	0.1	10	0.1	5.0	15
28	0.1	0.1	0.1	10	0.1	5.0	30
29	0.1	0.1	0.1	10	0.1	5.0	60
30	0.1	0.1	0.1	10	0.1	7.5	5
31	0.1	0.1	0.1	10	0.1	7.5	10
32	0.1	0.1	0.1	10	0.1	7.5	15
33	0.1	0.1	0.1	10	0.1	7.5	30
34	0.1	0.1	0.1	10	0.1	7.5	60
35	0.1	0.1	0.1	10	0.1	10.0	5
36	0.1	0.1	0.1	10	0.1	10.0	10
37	0.1	0.1	0.1	10	0.1	10.0	15
38	0.1	0.1	0.1	10	0.1	10.0	30
39	0.1	0.1	0.1	10	0.1	10.0	60
40	0.1	0.1	0.1	10	0.25	0.0	5
41	0.1	0.1	0.1	10	0.25	0.0	10
42	0.1	0.1	0.1	10	0.25	0.0	15
43	0.1	0.1	0.1	10	0.25	0.0	30
44	0.1	0.1	0.1	10	0.25	0.0	60
45	0.1	0.1	0.1	10	0.25	1.0	5
46	0.1	0.1	0.1	10	0.25	1.0	10
47	0.1	0.1	0.1	10	0.25	1.0	15
48	0.1	0.1	0.1	10	0.25	1.0	30
49	0.1	0.1	0.1	10	0.25	1.0	60
50	0.1	0.1	0.1	10	0.25	2.0	5
51	0.1	0.1	0.1	10	0.25	2.0	10
52	0.1	0.1	0.1	10	0.25	2.0	15
53	0.1	0.1	0.1	10	0.25	2.0	30
54	0.1	0.1	0.1	10	0.25	2.0	60
55	0.1	0.1	0.1	10	0.25	3.0	5
